sku,name,category,variant_label,sizes,price
SHIRT-SS-B,White Shirt — Short Sleeves,Summer,Boys 10–26,"10,12,14,16,18,20,22,24,26",32.00
SHIRT-SS-G,White Shirt — Short Sleeves,Summer,Girls 8–22,"8,10,12,14,16,18,20,22",32.00
SHIRT-LS-B,White Shirt — Long Sleeves,Winter,Boys 10–24,"10,12,14,16,18,20,22,24",28.00
JUMPER-WB,Jumper — Wool Blend Crested,Winter,12–26,"12,14,16,18,20,22,24,26",75.00
TROUSER-Y7,Trousers — Mid Grey,Formal,Year 7–10 long (137cm),"7-10L",18.00
POLO-SP,Sports Polo Shirt,Sports,10–26,"10,12,14,16,18,20,22,24,26",40.00
TRACK-SP,Track Pants,Sports,18–26,"18,20,22,24,26",45.00
CAP-OS,School Cap Navy,Summer,One size,OS,18.00
SOCK-W,White Sport Socks,Summer,3–9,3-9,5.00
SPORTSBAG-L,Sports Bag — Maroon,Bags,Large,L,46.00
